Hindi comment,English comment,Level 1,,,,,,,,,,,
"????? ??? ??????? ??????? ?????? ??? ???? ???? ????????? ?? ???? ????? ?? ?? ???? ?? ????????-?? ???
??? ???? ?? ? ?? ?????? ????????-?? ????? ?? ??? ??? ????? ?? ????? ??????? ??? ?? ?? ????? ???? 2004 ??
????????-?? ??? ???? ?? ? ????????? ???????? ??????? ?? ????????-?? ? ???? ????, ?? ?????????? ????
???? ? ???? ????????? ????????-?? ??????? ?? ???? 2004 ?? ????????-?? ???? ???? |",residents of the unauthorized residential colony in the ward collect property tax of two years on their own have done it now he has received information from the property tax department three days ago that he has been since 2004 property tax has to be deposited ensured that property tax should not be taken from the above property owners go only commercial property tax owners should be taxed from the year 2004 ,civic,,,,,,,,,,,
"????? ??? ?? ????????-?????? ????????-?? ?? ??? ??, ??? ????? ?????? ???????? ??? ?? ?????? ? ????
???? ?",do not unduly disturb the property taxpayer s property tax in the ward go ,civic,,,,,,,,,,,
"
????? ?? ????? ?????? ?? ???? ???? |",catch the stray pigs from the ward ,health,,,,,,,,,,,
"??? ???, ??? ????? ??? ????-????? ???? ?? ???? |",creator suction machine should be provided in sant nagar main market ,revenue,,,,,,,,,,,
"????? ??? ?? ??? ???-??-??? ???-???????? ?? ??0??0??0 ?? ????? ???? ?? ??? ??, ????? ???? ??? ?????
??0??0??0 ???????? ?????? ??? ?????? ????? ???? ?",why are cng less being given to door to door auto tippers running in the ward and they should be told cng should be made available in sufficient quantity ,scams corruption,,,,,,,,,,,
"????? ????? ???????, ???? ???????? ?? ??????? ????? ???? ??? ??, ??? ????? ???? ????? ???? ?",construction work of burari nigam school in ward has been stopped it should be started soon ,education,,,,,,,,,,,
????? ????? ???????? ???? ???????? ?? ????? ?? ????????????? ???? ???? ?,the band should be caught as early as possible from the burardi nigam school located in the ward ,education,,,,,,,,,,,
"????? ??? ??????? ????????? ?? ????? ???? ???? ???? ?????? ?? ???????? ?????? ?? ???? ?? ????? ?? ??????
????? ?????? ????????? ????????? ?? ?????? ???? ?????? ?? ???? ?? ?? ??? ??, ??? ?????, ????? ???? ? ????
???????? ?????? ???? ???? ?????????? ???? ???? |",corporation parks were used for free booking for organizing religious programs in the ward but now the gardens the department is demanding money for booking the above mentioned programs why should it be told their booking should be ensured for free ,civic,,,,,,,,,,,
?????? ??? ????? ???? ???????? ?? ??????? ?? ???? ???????? ?? ???? ?,the date of inauguration of nigam school located in swaroop nagar should be fixed ,education,,,,,,,,,,,
"
????? ?? ????? ????? ???? ???-??-??? ???-???????? ?? ?????? ????? ???? ?",the number of door to door auto tippers that lift garbage from the ward should be increased ,civic,,,,,,,,,,,
"????? ????? ??? ?????? ?? ????????? ?? ??? ??, ???? ??????? ????? ????????????? ????? ????? ???? ?????????
???? ???? |",the construction work of roads in the ward which have been completed is sure to be started at the earliest be done ,civic,,,,,,,,,,,
"????? ????? ????????? ???? ??? ???? ????? ???????? ?????? ?? ????? ?????? ?????? ????? ????? ?? ???
????? ???? ? ?? ????????? ??? ???? ??? ????? ?????? ???? ?????? ???? ??? ????? ????? ?? ?????? ????
?????????? ?? ????? ???????? ???? ?? ???, ?? ? ??? ???? ?? 10 ??????? ?? ??? ???? ?? ????? ?????? ???
???? ??? ?? ? ????? ??? ?",ward s wazirambad village and sangam vihar unauthorized colony department prohibits arbitrary tax collection be installed in these colonies and villages the department has made small arrangements by sealing and tax collection why are shopkeepers being harassed and on what basis are the 10 shops of the village sealed by the department has been done be told ,civic,,,,,,,,,,,
"???? ?????????? ?????? ????? ?? ???? ???????? ?? ????? ?? ???? ???? ??? ????? ????? ?? ???? ?? ?????????
??? ???? ?????? ????? ?? ???? ???????? ??? ????? ???? ???????? ???? ?? ????? ?? ???? ??? ????
?????-??????????? ??????, ??????? ??? ???? ??????-???? ????? ?? ????? ?? ?????????? ?? ????? ?? ??? ?? ?
???? ??? ???? ?? ???? ??????? ?? ???? ???? ????? ??? 5 ?? 10 ????? ??? ?????? ??? ????? ????
??? ???? ???????? ?? ?????? ?? ??? ?? ??? ???? ?? ??? ?????? ?? ??????? ???? ?? ????? ?? ?????? ??
?????? ?? ??? ?? ???? ?? ????? ???? ???????? ?? ????? ??? ???? ?? ??? ??? ?? ???? ?????",deputy commissioner on orders of challan cutting only all day in place of cleaning inspection of ward by cleaning inspectors prohibit because the cleaning inspector and assistant cleaning inspector of the department vacated all day in place of cleaning plot under construction houses shops and poor street dwellers are promoting corruption by recovering them throughout the day by pressing on about a thousand places they submit 5 or 10 challans to the department so that the corporation and the corporators are being slandered and the corporation does not get any revenue of this type cancellation of orders withdraw the challan book from the assistant cleaning inspector of the corporation and recover this illegal ,scams corruption,,,,,,,,,,,
?? ??????? ??? ????? ???? ?,but stop it immediately ,social culturalconcerns,,,,,,,,,,,
"????? ????? ???????? ???? ?? ??? ??0 9, ???-???? ??? ?????? ?? ????? ?? ?? ??? ???? ?? ??????? ?????
?? ???? ?? ?????? ????? ?????? ??? ?????? ????? ?? ?? ??? ???? ?? ?? ??? ?? ???? ????? ??????? ??",walirabad village gali no 9 ward water department for one year the committee has not been able to fix the issue even in the meetings while in both the places ,civic,,,,,,,,,,,
???? ?????-??? ??? ?????? ??? ?? ?????? ????? ?? ???? ???,corporation plan head and councilor funds have also been made available ,education,,,,,,,,,,,
??? ?? ??? 05 ?????????? ??????? ?? ??????-????? ??,of toilet blocks at 05 proposed locations near part ,civic,,,,,,,,,,,
"?????? ???? ?????? ??? ?? ???????? ??? ??????? ???
????????? ??????? ?? ???? ??? ??? ??????? ?? ??? ?????",workers split in timarpur from swachh bharat abhiyan fund prohibited open defecation etc at designated places ,education,,,,,,,,,,,
"??????? ????? ?????? ??????? ????? ??? ???? ?? ???
?? ??? ?",be made by the construction department immediately so that those funds can go ,education,,,,,,,,,,,
"????? ????? ???-?????? ?? ???? ????? ??, ??????? 02 ?? ???-?????? ????? ???? ??? ???? ?????? ??
??? ??? ?????? ?????? ?????? ???|",the condition of the auto tipper in the ward is poor immediately 02 new auto tippers should be installed and the bad tippers new tipper should be provided in place ,health,,,,,,,,,,,
"??? ????? ???????? ??? ??????-????? ?? ????? ??? ?????? ?????? ???? ??? ?? ????? ?????? ?? ??? ??
???? ???? ???? ??? ???? ??????? ?????? ?? ????? ?????? ??? ?? ???? ????????? ?? ???, ????? ???? ??? ????
???? ????? ?? ??? ??? ????? ?? ???? ??????? ????? ????? ???? ???, ????? ???? ? ?? ??? ?? ????? ??????
??????? ?????? ?? ??? |",in front of the mayor s residence at timarpur in wad and in front of metro station lucknow road standards are being investigated what action has been taken by the department so far on the major construction work started by placing it and it should be told why should the construction work started on the buildings which have been closed for five years on all these by the department immediate action should be taken ,civic,,,,,,,,,,,
"_ ?????? ?????? ??? ???? ?? ??? ?: ????????? ??? ??????? ???? ??????????? ?? ???-???? ???? ????? ??
????? ???? ??? ??? ??????? ?? ?? ???? |",committee of the vad wise list of sanitation workers working in all the 4 areas of north delhi municipal corporation it should be given to all the members in the upcoming meeting ,civic,,,,,,,,,,,
